message_id,market,language,category,intent,secondary_intents,priority,route,assigned_team,secondary_teams,auto_response_policy,auto_response_template_id,human_review_required,risk_flags,reason_codes,model_eligibility,model_bypass_reason,market_framework_status,market_overlay_codes,related_message_ids,first_contact_message_id,previous_contact_count,attachment_received,attachment_referenced,identity_document_referenced,required_context,short_rationale
M01,Ontario,en,Payments & Withdrawals,withdrawal_status_first_contact,,medium,human,Payments Operations,,acknowledgment_only,,True,withdrawal_pending;account_specific,PAYMENT_STATUS_FIRST_CONTACT,eligible,,established,,,,0,False,False,False,withdrawal_status;withdrawal_requested_at;verification_status;payment_provider_status,First account-specific withdrawal-status inquiry; no formal complaint or fraud signal.
M02,Malta,en,Bonuses & Promotions,missing_free_spins,,medium,human,Promotions,,acknowledgment_only,,True,promotion_not_credited;account_specific,PROMO_CREDIT_MISSING,eligible,,established,,,,0,False,False,False,promotion_terms_version;promotion_opt_in;deposit_event;promotion_credit_event,Missing promotional benefit requires account review; no complaint escalation stated.
M03,India,en,KYC & Verification,verification_pending,withdrawal_blocked,high,specialist,KYC Operations,Market Compliance,acknowledgment_only,,True,identity_document_submitted;withdrawal_blocked,KYC_PENDING_WITH_FUNDS;INDIA_MARKET_OVERLAY,eligible,,prohibited_market,INDIA_PROHIBITED_MARKET,,,0,False,False,True,verification_status;documents_received_at;withdrawal_status,KYC status is primary; India market status adds compliance review without replacing the category.
M04,New Zealand,en,General,login_password_reset_failure,,medium,human,General Support,,acknowledgment_only,,True,account_access_issue;no_compromise_alleged,ACCOUNT_ACCESS_ROUTINE,eligible,,transitional,NZ_TRANSITIONAL_FRAMEWORK,,,0,False,False,False,account_access_state;password_reset_events;app_version,Routine login recovery with no takeover allegation; app version is contextual.
M05,Ireland,en,Payments & Withdrawals,failed_deposit_authorization_hold,,medium,human,Payments Operations,,acknowledgment_only,,True,deposit_declined;bank_authorization_hold,FAILED_DEPOSIT_AUTH_HOLD,eligible,,casino_applicability_unconfirmed,IRELAND_CASINO_APPLICABILITY_UNCONFIRMED,,,0,False,False,False,payment_authorization_status;capture_status;reversal_status;wallet_credit_status,Payment reconciliation is required; no fraud or formal complaint signal.
M06,Malta,en,Bonuses & Promotions,cashback_calculation_query,,medium,human,Promotions,,acknowledgment_only,,True,cashback_discrepancy;account_specific,CASHBACK_CALCULATION_REVIEW,eligible,,established,,,,0,False,False,False,cashback_terms_version;eligible_activity;calculation_breakdown,"The player questions a prior cashback calculation, requiring account data."
M07,Ireland,en,Responsible Gambling,harm_linked_account_closure,bonus_status,critical,specialist,Responsible Gambling,Promotions,acknowledgment_only,,True,loss_of_control;repeated_withdrawal_reversal;harm_linked_closure,RG_LOSS_OF_CONTROL_CLOSURE,bypass_deterministic,explicit_loss_of_control,casino_applicability_unconfirmed,IRELAND_CASINO_APPLICABILITY_UNCONFIRMED,,,0,False,False,False,responsible_gambling_history;account_control_history,Loss-of-control language and closure request override the routine bonus question.
M08,Ontario,en,Technical & Game Issues,game_interruption_round_status,,medium,specialist,Game Integrity,Technical Support,acknowledgment_only,,True,game_frozen;round_outcome_unknown,GAME_INTERRUPTION_REVIEW,eligible,,established,,,,0,False,False,False,game_round_id;provider_logs;wallet_events;round_outcome,Round outcome cannot be inferred from the message and requires game-state review.
M09,Malta,en,Payments & Withdrawals,withdrawal_repeated_unresolved,,high,human,Payments Operations,Complaints,acknowledgment_only,,True,repeat_contact;prior_ticket;dissatisfaction,WITHDRAWAL_REPEAT_CONTACT,eligible,,established,,,,0,False,False,False,related_contacts;withdrawal_status;first_contact_at;promised_response,Repeated unresolved withdrawal contact raises priority but is not yet an explicit formal complaint.
M10,India,en,KYC & Verification,registered_mobile_change_request,,high,specialist,KYC Operations,Fraud & Account Security;Market Compliance,acknowledgment_only,,True,registered_channel_loss;otp_unavailable;identity_change,REGISTERED_MOBILE_CHANGE,eligible,,prohibited_market,INDIA_PROHIBITED_MARKET,,,0,False,False,False,registered_contact_history;identity_verification_status;authentication_events,Changing a registered authentication channel requires secure identity review.
M11,Ireland,en,Payments & Withdrawals,missing_deposit,,critical,specialist,Payments Security,Payments Operations;CRM & Privacy,acknowledgment_only,,True,full_pan_exposed;cvv_exposed;payment_dispute,MISSING_DEPOSIT_REVIEW;PCI_SENSITIVE_AUTH_DATA,bypass_sensitive,pan_and_cvv_detected,casino_applicability_unconfirmed,IRELAND_CASINO_APPLICABILITY_UNCONFIRMED,,,0,False,False,False,payment_security_incident_status;payment_authorization_status;wallet_credit_status,"Underlying issue is a missing deposit, but exposed PAN/CVV requires immediate local security handling and no model call."
M12,Malta,en,Payments & Withdrawals,withdrawal_timing_after_bonus,bonus_completed,low,auto_respond,Payments Operations,Promotions,allowed_template,FAQ_WITHDRAWAL_METHOD_TIMING,False,general_payment_timing;bonus_context,STATIC_WITHDRAWAL_TIMING_FAQ,eligible,,established,,,,0,False,False,False,approved_withdrawal_timing_template,No dispute or account-specific hold is alleged; an approved general timing template is sufficient.
M13,New Zealand,en,Bonuses & Promotions,vip_bonus_contact_unanswered,,medium,human,Promotions,,acknowledgment_only,,True,vip_contact_unavailable;birthday_bonus,VIP_PROMO_SUPPORT,eligible,,transitional,NZ_TRANSITIONAL_FRAMEWORK,,,0,False,False,False,vip_case_owner;promotion_eligibility;previous_contacts,VIP status does not change risk; the request requires human promotion support.
M14,Ontario,en,General,tax_information_request,,low,human,General Support,,requires_approval,,True,tax_question;no_account_action,GENERAL_TAX_DISCLAIMER,eligible,,established,,,,0,False,False,False,approved_tax_disclaimer_template,"A non-advisory tax template may be developed, but no approved template is assumed; route to human support."
M15,Ireland,en,Fraud & Compliance,underage_gambling_report,third_party_payment;refund_request;account_closure,critical,specialist,Fraud & Account Security,Responsible Gambling;Payments Security;KYC Operations;Market Compliance,acknowledgment_only,,True,underage_reported;third_party_payment;unauthorized_card_use;refund_requested;closure_requested,UNDERAGE_GAMBLING_REPORTED;THIRD_PARTY_PAYMENT_REPORTED,bypass_deterministic,explicit_underage_and_unauthorized_use,casino_applicability_unconfirmed,IRELAND_CASINO_APPLICABILITY_UNCONFIRMED,,,0,False,False,False,account_identity;age_verification_status;payment_ownership;account_activity,Underage gambling and another person’s card are critical safeguarding and security signals.
M16,Malta,en,Bonuses & Promotions,wagering_requirement_information,,low,auto_respond,Promotions,,allowed_template,FAQ_BONUS_WAGERING_REQUIREMENT,False,static_bonus_terms_question,STATIC_BONUS_TERMS_FAQ,eligible,,established,,,,0,False,False,False,promotion_terms_version,Pure promotional-terms question suitable for an approved template.
